Год,Секция,Тема доклада,Курс,Результат
2025,Вычислительная математика и моделирование,Сравнение схем Рунге — Кутты для жёстких систем ОДУ,4,Диплом I степени
2025,Вычислительная математика и моделирование,Параллельная реализация метода прогонки,3,Диплом II степени
2025,Алгебра и дискретная математика,Оценки скорости сходимости метода сопряжённых градиентов,3,Диплом II степени
2025,Теория вероятностей и анализ данных,Марковские цепи в задаче о разорении игрока,2,Диплом III степени
2025,Математический анализ и дифференциальные уравнения,Асимптотика решений уравнения Штурма — Лиувилля,4,Диплом I степени
2024,Вычислительная математика и моделирование,Геометрия множеств Жюлиа: вычислительный эксперимент,2,Приз зрительских симпатий
2024,Математический анализ и дифференциальные уравнения,Признаки сходимости несобственных интегралов,2,Диплом III степени
2024,История и методика преподавания математики,Задачи Эйлера в школьном курсе,3,Диплом II степени
2024,Теория вероятностей и анализ данных,Оценка параметров распределения методом максимального правдоподобия,4,Диплом I степени
2023,Алгебра и дискретная математика,Спектральные свойства графов малого порядка,3,Диплом I степени
2023,Вычислительная математика и моделирование,Устойчивость явных схем для уравнения переноса,4,Диплом II степени
2023,История и методика преподавания математики,История развития теории вероятностей,2,Дипломант
