Вариант,a,b,c,k,m,V (л),p,a0,b0,da/dt,db/dt
1,1,3,2,10,4,50,8.5,3,4,0.2,-0.1
2,2,5,3,12,9,80,27.3,5,2,0.1,0.3
3,1,4,4,8,16,100,64.2,4,6,-0.2,0.2
4,3,6,2,15,25,60,125.6,2,5,0.3,0.1
5,2,3,5,9,4,120,10.1,6,3,0.1,-0.2
6,1,5,3,11,9,75,29.8,3,7,0.2,0.2
7,4,7,2,14,16,90,66.9,5,4,-0.1,0.3
8,2,4,6,10,25,55,127.4,4,2,0.3,-0.1
9,3,5,3,13,4,110,9.2,7,5,0.2,0.1
10,1,6,4,7,9,65,28.1,2,6,0.1,0.2
11,2,7,2,16,16,95,63.5,6,4,-0.2,0.1
12,4,4,5,12,25,70,124.8,3,3,0.2,0.3
13,1,3,3,9,4,130,8.9,5,7,0.1,-0.1
14,3,7,4,15,9,85,30.4,4,5,0.3,0.2
15,2,6,2,10,16,60,65.7,7,2,-0.1,0.2
16,4,5,6,13,25,105,126.1,3,6,0.2,0.1
17,1,4,3,8,4,75,9.8,6,4,0.1,0.3
18,3,3,5,14,9,115,27.6,2,7,-0.2,0.2
19,2,5,4,11,16,80,64.9,5,3,0.3,0.1
20,4,6,3,16,25,95,125.2,4,4,0.2,-0.2
21,1,7,2,7,4,50,10.4,7,6,0.1,0.2
22,3,4,6,12,9,125,29.1,3,5,-0.1,0.3
23,2,3,4,15,16,70,66.3,6,2,0.2,0.1
24,4,7,5,9,25,100,123.9,4,7,0.3,-0.1
25,1,5,3,13,4,90,9.5,5,5,0.1,0.2
