№,Дата,Докладчик,Тема,Статус
1,11.02.2026,профессор лаборатории,Асимптотические методы в задачах теории возмущений,Состоялся
2,18.02.2026,доцент лаборатории,Разностные схемы повышенного порядка точности для уравнения переноса,Состоялся
3,25.02.2026,аспирант 2-го года,Спектральные свойства оператора Штурма — Лиувилля с разрывным коэффициентом,Состоялся
4,04.03.2026,студенты 4-го курса,Обзор результатов выпускных квалификационных работ,Состоялся
5,11.03.2026,приглашённый докладчик,Методы оптимизации в задачах машинного обучения: взгляд математика,Идёт запись
6,18.03.2026,доцент лаборатории,Устойчивость решений систем ОДУ: современные критерии,Готовится
7,25.03.2026,магистранты,Численное решение обратных задач теплопроводности,Готовится
8,01.04.2026,открытая сессия,Короткие сообщения участников (по 10 минут),Приём заявок
9,08.04.2026,аспирант 1-го года,Априорные оценки для эллиптических операторов,Приём заявок
10,15.04.2026,студенты 3-го курса,Предконференционный прогон докладов,Приём заявок
