Ресурс,Тип,Дисциплина,Адрес,Комментарий
Математическая энциклопедия,Справочник,Все,encyclopediaofmath.org,"Открытая версия энциклопедии, статьи с доказательствами"
МЦНМО — свободные книги,Библиотека,Все,biblio.mccme.ru,"Учебники и задачники в свободном доступе"
arXiv.org,Препринты,Все,arxiv.org,"Раздел math: препринты научных статей"
Библиотека Куранта,Библиотека,Математический анализ,math.ru/lib,"Классические учебники в открытом доступе"
OEIS,Справочник,Дискретная математика,oeis.org,"Энциклопедия целочисленных последовательностей"
DLMF,Справочник,Математический анализ,dlmf.nist.gov,"Справочник по специальным функциям"
Wolfram MathWorld,Справочник,Все,mathworld.wolfram.com,"Краткие статьи по терминам и формулам"
SymPy Live,Инструмент,Все,live.sympy.org,"Символьные вычисления в браузере, без установки"
Google Colab,Инструмент,Численные методы,colab.research.google.com,"Запуск ноутбуков без установки Python"
GeoGebra,Инструмент,Аналитическая геометрия,geogebra.org,"Построение графиков и геометрических конструкций"
Desmos,Инструмент,Математический анализ,desmos.com/calculator,"Быстрое построение графиков функций"
Overleaf,Инструмент,Все,overleaf.com,"Онлайн-редактор LaTeX для отчётов и тезисов"
Detexify,Инструмент,Все,detexify.kirelabs.org,"Поиск команды LaTeX по нарисованному символу"
Задачник Демидовича онлайн,Задачник,Математический анализ,math.ru,"Разборы типовых задач"
Проект «Математические этюды»,Научпоп,Все,etudes.ru,"Наглядные модели и анимации к школьным и вузовским темам"
