Семестр,Дисциплина,Лекции,Практики,СРС,Всего часов,ЗЕ,Контроль
1,"Математический анализ, часть I",51,51,78,216,6,Экзамен
1,Линейная алгебра и аналитическая геометрия,34,34,40,144,4,Экзамен
2,"Математический анализ, часть II",51,51,78,216,6,Экзамен
2,Дискретная математика,34,17,57,108,3,Зачёт
3,Дифференциальные уравнения,34,34,40,144,4,Экзамен
3,Теория функций комплексного переменного,17,17,38,72,2,Зачёт
4,Теория вероятностей и математическая статистика,34,34,40,144,4,Экзамен
4,Уравнения математической физики,34,17,57,108,3,Зачёт с оценкой
5,Численные методы,34,34,40,144,4,"Экзамен, КР"
5,Функциональный анализ,17,17,38,72,2,Зачёт
6,Методы оптимизации,17,34,57,108,3,Зачёт с оценкой
6,Математическое моделирование,34,34,40,144,4,Экзамен
