Вариант,a (задача 1),b (задача 1),n (задача 3),m (задача 3),k (задача 4),Вектор булевой функции (задача 6)
1,4,7,12,3,3,10110100
2,5,9,10,5,4,11010010
3,3,6,15,3,3,01101101
4,6,8,14,7,5,10011011
5,4,10,12,4,4,11100100
6,5,7,16,4,3,00111010
7,3,9,10,2,5,10101101
8,6,6,18,6,4,11001110
9,4,8,15,5,3,01110001
10,5,10,12,6,5,10010111
11,3,7,14,7,4,11101000
12,6,9,16,8,3,00101111
13,4,6,10,5,5,10110011
14,5,8,12,3,4,01011100
15,3,10,18,9,3,11010101
16,6,7,15,5,5,10001110
17,4,9,14,2,4,01111001
18,5,6,16,4,3,11100011
19,3,8,10,5,5,10101010
20,6,10,12,6,4,00110110
21,4,7,18,3,3,11011001
22,5,9,15,5,5,10010100
23,3,6,14,7,4,01100111
24,6,8,16,8,3,11110010
25,4,10,12,4,5,10011101
