Вариант,n,m,k,p1,p2,p3,a:b:c,q1,q2,q3,N,p,r,lambda
1,10,4,3,0.7,0.6,0.8,2:3:5,0.02,0.03,0.05,100,0.3,30,0.5
2,12,5,4,0.8,0.5,0.7,1:2:3,0.01,0.04,0.02,120,0.4,50,1.0
3,15,6,3,0.6,0.7,0.9,3:4:3,0.03,0.02,0.04,80,0.25,20,1.5
4,10,3,4,0.9,0.6,0.5,2:2:6,0.05,0.01,0.03,150,0.2,30,0.8
5,14,7,5,0.7,0.8,0.6,4:3:3,0.02,0.05,0.01,200,0.35,70,2.0
6,11,4,3,0.5,0.9,0.7,1:1:2,0.04,0.03,0.02,90,0.5,45,0.4
7,16,8,4,0.8,0.7,0.6,3:2:5,0.01,0.02,0.06,110,0.3,33,1.2
8,13,5,3,0.6,0.5,0.8,2:5:3,0.03,0.04,0.01,140,0.45,63,0.6
9,10,6,4,0.9,0.8,0.5,5:3:2,0.02,0.01,0.05,160,0.15,24,1.8
10,18,9,5,0.7,0.6,0.9,1:3:4,0.06,0.02,0.03,75,0.4,30,0.9
11,12,4,3,0.5,0.7,0.8,4:4:2,0.03,0.05,0.02,130,0.25,32,1.1
12,15,5,4,0.8,0.9,0.6,2:3:5,0.01,0.03,0.04,180,0.35,63,0.7
13,11,6,3,0.6,0.8,0.7,3:3:4,0.04,0.02,0.05,95,0.5,47,1.4
14,17,7,5,0.9,0.5,0.8,1:4:5,0.02,0.06,0.01,125,0.2,25,0.3
15,10,5,4,0.7,0.9,0.5,5:2:3,0.05,0.03,0.02,145,0.45,65,1.6
16,14,6,3,0.8,0.6,0.7,2:4:4,0.01,0.04,0.03,105,0.3,31,0.5
17,13,4,4,0.5,0.8,0.9,3:5:2,0.03,0.01,0.06,170,0.15,25,2.2
18,16,8,5,0.6,0.7,0.5,4:2:4,0.02,0.05,0.04,85,0.4,34,1.0
19,12,7,3,0.9,0.6,0.8,1:2:7,0.04,0.03,0.01,155,0.25,39,0.8
20,15,9,4,0.7,0.5,0.9,5:4:1,0.06,0.02,0.03,115,0.35,40,1.3
21,10,4,5,0.8,0.8,0.6,2:2:6,0.03,0.04,0.02,190,0.2,38,0.6
22,18,6,3,0.5,0.9,0.7,3:3:4,0.01,0.06,0.05,70,0.5,35,1.7
23,11,5,4,0.6,0.7,0.8,4:5:1,0.05,0.02,0.01,135,0.45,61,0.9
24,14,8,3,0.9,0.5,0.6,1:3:6,0.02,0.03,0.06,165,0.3,50,1.9
25,13,6,5,0.7,0.8,0.9,5:5:2,0.04,0.01,0.02,100,0.4,40,1.5
